dataset,format,commodity,digit,count,observed_pct,expected_pct
Vanderspek,X (qty per shekel),ALL,1,455,0.251937984496124,0.3010299956639812
Vanderspek,X (qty per shekel),ALL,2,322,0.1782945736434108,0.1760912590556812
Vanderspek,X (qty per shekel),ALL,3,270,0.1495016611295681,0.1249387366082999
Vanderspek,X (qty per shekel),ALL,4,193,0.1068660022148394,0.0969100130080564
Vanderspek,X (qty per shekel),ALL,5,129,0.0714285714285714,0.0791812460476248
Vanderspek,X (qty per shekel),ALL,6,143,0.0791805094130675,0.0669467896306132
Vanderspek,X (qty per shekel),ALL,7,112,0.0620155038759689,0.0579919469776867
Vanderspek,X (qty per shekel),ALL,8,69,0.0382059800664451,0.0511525224473812
Vanderspek,X (qty per shekel),ALL,9,113,0.0625692137320044,0.0457574905606751
Vanderspek,1/X (shekel per unit),ALL,1,577,0.3194905869324474,0.3010299956639812
Vanderspek,1/X (shekel per unit),ALL,2,351,0.1943521594684385,0.1760912590556812
Vanderspek,1/X (shekel per unit),ALL,3,242,0.1339977851605758,0.1249387366082999
Vanderspek,1/X (shekel per unit),ALL,4,179,0.0991140642303433,0.0969100130080564
Vanderspek,1/X (shekel per unit),ALL,5,154,0.0852713178294573,0.0791812460476248
Vanderspek,1/X (shekel per unit),ALL,6,96,0.0531561461794019,0.0669467896306132
Vanderspek,1/X (shekel per unit),ALL,7,48,0.0265780730897009,0.0579919469776867
Vanderspek,1/X (shekel per unit),ALL,8,90,0.0498338870431893,0.0511525224473812
Vanderspek,1/X (shekel per unit),ALL,9,69,0.0382059800664451,0.0457574905606751
Appendix,X (quantity per silver),ALL,1,624,0.2525293403480372,0.3010299956639812
Appendix,X (quantity per silver),ALL,2,466,0.188587616349656,0.1760912590556812
Appendix,X (quantity per silver),ALL,3,347,0.1404289761230271,0.1249387366082999
Appendix,X (quantity per silver),ALL,4,278,0.112505058680696,0.0969100130080564
Appendix,X (quantity per silver),ALL,5,210,0.0849858356940509,0.0791812460476248
Appendix,X (quantity per silver),ALL,6,144,0.0582760016187778,0.0669467896306132
Appendix,X (quantity per silver),ALL,7,159,0.0643464184540671,0.0579919469776867
Appendix,X (quantity per silver),ALL,8,149,0.0602994738972076,0.0511525224473812
Appendix,X (quantity per silver),ALL,9,94,0.0380412788344799,0.0457574905606751
Appendix,1/X (silver per quantity),ALL,1,756,0.3059490084985836,0.3010299956639812
Appendix,1/X (silver per quantity),ALL,2,459,0.1857547551598543,0.1760912590556812
Appendix,1/X (silver per quantity),ALL,3,385,0.1558073654390935,0.1249387366082999
Appendix,1/X (silver per quantity),ALL,4,247,0.0999595305544314,0.0969100130080564
Appendix,1/X (silver per quantity),ALL,5,137,0.0554431404289761,0.0791812460476248
Appendix,1/X (silver per quantity),ALL,6,134,0.0542290570619182,0.0669467896306132
Appendix,1/X (silver per quantity),ALL,7,102,0.0412788344799676,0.0579919469776867
Appendix,1/X (silver per quantity),ALL,8,141,0.0570619182517199,0.0511525224473812
Appendix,1/X (silver per quantity),ALL,9,110,0.0445163901254552,0.0457574905606751
Pirngruber,X (qty per shekel),ALL,1,570,0.25,0.3010299956639812
Pirngruber,X (qty per shekel),ALL,2,394,0.1728070175438596,0.1760912590556812
Pirngruber,X (qty per shekel),ALL,3,332,0.1456140350877193,0.1249387366082999
Pirngruber,X (qty per shekel),ALL,4,236,0.1035087719298245,0.0969100130080564
Pirngruber,X (qty per shekel),ALL,5,174,0.0763157894736842,0.0791812460476248
Pirngruber,X (qty per shekel),ALL,6,178,0.0780701754385965,0.0669467896306132
Pirngruber,X (qty per shekel),ALL,7,155,0.0679824561403508,0.0579919469776867
Pirngruber,X (qty per shekel),ALL,8,88,0.0385964912280701,0.0511525224473812
Pirngruber,X (qty per shekel),ALL,9,153,0.0671052631578947,0.0457574905606751
Pirngruber,1/X (shekel per unit),ALL,1,760,0.3333333333333333,0.3010299956639812
Pirngruber,1/X (shekel per unit),ALL,2,432,0.1894736842105263,0.1760912590556812
Pirngruber,1/X (shekel per unit),ALL,3,304,0.1333333333333333,0.1249387366082999
Pirngruber,1/X (shekel per unit),ALL,4,211,0.0925438596491228,0.0969100130080564
Pirngruber,1/X (shekel per unit),ALL,5,191,0.0837719298245614,0.0791812460476248
Pirngruber,1/X (shekel per unit),ALL,6,116,0.0508771929824561,0.0669467896306132
Pirngruber,1/X (shekel per unit),ALL,7,71,0.0311403508771929,0.0579919469776867
Pirngruber,1/X (shekel per unit),ALL,8,112,0.0491228070175438,0.0511525224473812
Pirngruber,1/X (shekel per unit),ALL,9,83,0.0364035087719298,0.0457574905606751
