commodity,digit,count,observed_pct,expected_pct
BARLEY,1,162,0.2956204379562044,0.3010299956639812
BARLEY,2,80,0.145985401459854,0.17609125905568124
BARLEY,3,65,0.11861313868613138,0.12493873660829993
BARLEY,4,49,0.08941605839416059,0.09691001300805642
BARLEY,5,27,0.04927007299270073,0.07918124604762482
BARLEY,6,51,0.09306569343065693,0.06694678963061322
BARLEY,7,41,0.07481751824817519,0.05799194697768673
BARLEY,8,41,0.07481751824817519,0.05115252244738129
BARLEY,9,32,0.058394160583941604,0.04575749056067514
DATES,1,161,0.3194444444444444,0.3010299956639812
DATES,2,89,0.1765873015873016,0.17609125905568124
DATES,3,53,0.10515873015873016,0.12493873660829993
DATES,4,40,0.07936507936507936,0.09691001300805642
DATES,5,29,0.057539682539682536,0.07918124604762482
DATES,6,40,0.07936507936507936,0.06694678963061322
DATES,7,33,0.06547619047619048,0.05799194697768673
DATES,8,24,0.047619047619047616,0.05115252244738129
DATES,9,35,0.06944444444444445,0.04575749056067514
CUSCUTA,1,125,0.3787878787878788,0.3010299956639812
CUSCUTA,2,55,0.16666666666666666,0.17609125905568124
CUSCUTA,3,74,0.22424242424242424,0.12493873660829993
CUSCUTA,4,48,0.14545454545454545,0.09691001300805642
CUSCUTA,5,4,0.012121212121212121,0.07918124604762482
CUSCUTA,6,9,0.02727272727272727,0.06694678963061322
CUSCUTA,7,7,0.021212121212121213,0.05799194697768673
CUSCUTA,8,3,0.00909090909090909,0.05115252244738129
CUSCUTA,9,5,0.015151515151515152,0.04575749056067514
CRESS,1,149,0.415041782729805,0.3010299956639812
CRESS,2,49,0.13649025069637882,0.17609125905568124
CRESS,3,54,0.15041782729805014,0.12493873660829993
CRESS,4,28,0.07799442896935933,0.09691001300805642
CRESS,5,13,0.036211699164345405,0.07918124604762482
CRESS,6,12,0.033426183844011144,0.06694678963061322
CRESS,7,9,0.025069637883008356,0.05799194697768673
CRESS,8,21,0.0584958217270195,0.05115252244738129
CRESS,9,24,0.06685236768802229,0.04575749056067514
SESAME,1,84,0.21428571428571427,0.3010299956639812
SESAME,2,75,0.1913265306122449,0.17609125905568124
SESAME,3,97,0.24744897959183673,0.12493873660829993
SESAME,4,29,0.07397959183673469,0.09691001300805642
SESAME,5,43,0.1096938775510204,0.07918124604762482
SESAME,6,19,0.04846938775510204,0.06694678963061322
SESAME,7,12,0.030612244897959183,0.05799194697768673
SESAME,8,20,0.05102040816326531,0.05115252244738129
SESAME,9,13,0.03316326530612245,0.04575749056067514
WOOL,1,75,0.22189349112426035,0.3010299956639812
WOOL,2,111,0.32840236686390534,0.17609125905568124
WOOL,3,42,0.1242603550295858,0.12493873660829993
WOOL,4,53,0.15680473372781065,0.09691001300805642
WOOL,5,21,0.0621301775147929,0.07918124604762482
WOOL,6,3,0.008875739644970414,0.06694678963061322
WOOL,7,0,0.0,0.05799194697768673
WOOL,8,32,0.09467455621301775,0.05115252244738129
WOOL,9,1,0.0029585798816568047,0.04575749056067514
ALL,1,756,0.3059490084985836,0.3010299956639812
ALL,2,459,0.18575475515985432,0.17609125905568124
ALL,3,385,0.1558073654390935,0.12493873660829993
ALL,4,247,0.09995953055443141,0.09691001300805642
ALL,5,137,0.05544314042897612,0.07918124604762482
ALL,6,134,0.05422905706191825,0.06694678963061322
ALL,7,102,0.04127883447996762,0.05799194697768673
ALL,8,141,0.057061918251719954,0.05115252244738129
ALL,9,110,0.04451639012545528,0.04575749056067514
