format,commodity,n,mad,mad_conformity,r_squared,chi2,p_value
X (quantity per silver),BARLEY,548,0.011742659701729061,acceptable conformity,0.9576763426291564,7.961310616085979,0.4372585402042809
X (quantity per silver),DATES,504,0.019133861700411422,nonconformity,0.9244962900950502,19.568329752398014,0.012098596801298989
X (quantity per silver),CUSCUTA,330,0.05762775283284391,nonconformity,-0.6404087150863127,116.9209503191836,1.4316754772690337e-21
X (quantity per silver),CRESS,359,0.03822183041351366,nonconformity,0.4391343119266362,66.77918464570845,2.14454769890808e-11
X (quantity per silver),SESAME,392,0.02838468271019082,nonconformity,0.8593920640566031,36.47375671464307,1.4378198978997365e-05
X (quantity per silver),WOOL,338,0.05551838482415466,nonconformity,0.21562846521741807,128.2330680362177,6.573186614955498e-24
X (quantity per silver),ALL,2471,0.01441947890088323,marginally acceptable,0.9188016432735484,45.250968761690274,3.2980815446722156e-07
1/X (silver per quantity),BARLEY,548,0.017610253532131668,nonconformity,0.9203646294137838,25.73033066970392,0.0011678828422648272
1/X (silver per quantity),DATES,504,0.01388888409529395,marginally acceptable,0.9621150360063158,14.679564505100345,0.06568389293413504
1/X (silver per quantity),CUSCUTA,330,0.050134689601002425,nonconformity,0.7862329374234429,93.23353152724042,1.0240156101126002e-16
1/X (silver per quantity),CRESS,359,0.03731756759167986,nonconformity,0.8314837561977978,46.86615407124152,1.626160655043244e-07
1/X (silver per quantity),SESAME,392,0.037390699120776895,nonconformity,0.5542113178112956,72.56714811650932,1.5121621432320108e-12
1/X (silver per quantity),WOOL,338,0.056828413843025505,nonconformity,0.5571760796287977,127.98867729466565,7.385819149759944e-24
1/X (silver per quantity),ALL,2471,0.012091122471173924,marginally acceptable,0.9669777811814433,57.818677619415006,1.2462042302001578e-09
