commodity,digit,count,observed_pct,expected_pct
BARLEY,1,233,0.3362193362193362,0.3010299956639812
BARLEY,2,123,0.1774891774891775,0.17609125905568124
BARLEY,3,84,0.12121212121212122,0.12493873660829993
BARLEY,4,53,0.07647907647907648,0.09691001300805642
BARLEY,5,48,0.06926406926406926,0.07918124604762482
BARLEY,6,26,0.03751803751803752,0.06694678963061322
BARLEY,7,32,0.046176046176046176,0.05799194697768673
BARLEY,8,56,0.08080808080808081,0.05115252244738129
BARLEY,9,38,0.05483405483405483,0.04575749056067514
DATES,1,198,0.3467600700525394,0.3010299956639812
DATES,2,103,0.18038528896672504,0.17609125905568124
DATES,3,94,0.1646234676007005,0.12493873660829993
DATES,4,32,0.05604203152364273,0.09691001300805642
DATES,5,38,0.06654991243432574,0.07918124604762482
DATES,6,32,0.05604203152364273,0.06694678963061322
DATES,7,25,0.043782837127845885,0.05799194697768673
DATES,8,24,0.04203152364273205,0.05115252244738129
DATES,9,25,0.043782837127845885,0.04575749056067514
MUSTARD,1,77,0.3407079646017699,0.3010299956639812
MUSTARD,2,48,0.21238938053097345,0.17609125905568124
MUSTARD,3,39,0.17256637168141592,0.12493873660829993
MUSTARD,4,22,0.09734513274336283,0.09691001300805642
MUSTARD,5,28,0.12389380530973451,0.07918124604762482
MUSTARD,6,2,0.008849557522123894,0.06694678963061322
MUSTARD,7,2,0.008849557522123894,0.05799194697768673
MUSTARD,8,4,0.017699115044247787,0.05115252244738129
MUSTARD,9,4,0.017699115044247787,0.04575749056067514
CRESS,1,106,0.43983402489626555,0.3010299956639812
CRESS,2,36,0.14937759336099585,0.17609125905568124
CRESS,3,20,0.08298755186721991,0.12493873660829993
CRESS,4,28,0.11618257261410789,0.09691001300805642
CRESS,5,20,0.08298755186721991,0.07918124604762482
CRESS,6,10,0.04149377593360996,0.06694678963061322
CRESS,7,3,0.012448132780082987,0.05799194697768673
CRESS,8,10,0.04149377593360996,0.05115252244738129
CRESS,9,8,0.03319502074688797,0.04575749056067514
SESAME,1,104,0.3086053412462908,0.3010299956639812
SESAME,2,51,0.1513353115727003,0.17609125905568124
SESAME,3,42,0.12462908011869436,0.12493873660829993
SESAME,4,50,0.14836795252225518,0.09691001300805642
SESAME,5,23,0.06824925816023739,0.07918124604762482
SESAME,6,33,0.09792284866468842,0.06694678963061322
SESAME,7,9,0.026706231454005934,0.05799194697768673
SESAME,8,17,0.050445103857566766,0.05115252244738129
SESAME,9,8,0.02373887240356083,0.04575749056067514
WOOL 0.5 kg p. Shekel,1,42,0.19811320754716982,0.3010299956639812
WOOL 0.5 kg p. Shekel,2,71,0.33490566037735847,0.17609125905568124
WOOL 0.5 kg p. Shekel,3,25,0.1179245283018868,0.12493873660829993
WOOL 0.5 kg p. Shekel,4,26,0.12264150943396226,0.09691001300805642
WOOL 0.5 kg p. Shekel,5,34,0.16037735849056603,0.07918124604762482
WOOL 0.5 kg p. Shekel,6,13,0.06132075471698113,0.06694678963061322
WOOL 0.5 kg p. Shekel,7,0,0.0,0.05799194697768673
WOOL 0.5 kg p. Shekel,8,1,0.0047169811320754715,0.05115252244738129
WOOL 0.5 kg p. Shekel,9,0,0.0,0.04575749056067514
ALL,1,760,0.3333333333333333,0.3010299956639812
ALL,2,432,0.18947368421052632,0.17609125905568124
ALL,3,304,0.13333333333333333,0.12493873660829993
ALL,4,211,0.0925438596491228,0.09691001300805642
ALL,5,191,0.0837719298245614,0.07918124604762482
ALL,6,116,0.05087719298245614,0.06694678963061322
ALL,7,71,0.031140350877192982,0.05799194697768673
ALL,8,112,0.04912280701754386,0.05115252244738129
ALL,9,83,0.03640350877192983,0.04575749056067514
