commodity,digit,count,observed_pct,expected_pct
BARLEY,1,195,0.2813852813852814,0.3010299956639812
BARLEY,2,93,0.1341991341991342,0.17609125905568124
BARLEY,3,98,0.1414141414141414,0.12493873660829993
BARLEY,4,72,0.1038961038961039,0.09691001300805642
BARLEY,5,60,0.08658008658008658,0.07918124604762482
BARLEY,6,54,0.07792207792207792,0.06694678963061322
BARLEY,7,44,0.06349206349206349,0.05799194697768673
BARLEY,8,21,0.030303030303030304,0.05115252244738129
BARLEY,9,56,0.08080808080808081,0.04575749056067514
DATES,1,143,0.2504378283712785,0.3010299956639812
DATES,2,80,0.14010507880910683,0.17609125905568124
DATES,3,85,0.14886164623467601,0.12493873660829993
DATES,4,64,0.11208406304728546,0.09691001300805642
DATES,5,33,0.05779334500875657,0.07918124604762482
DATES,6,47,0.08231173380035026,0.06694678963061322
DATES,7,40,0.07005253940455342,0.05799194697768673
DATES,8,33,0.05779334500875657,0.05115252244738129
DATES,9,46,0.08056042031523643,0.04575749056067514
MUSTARD,1,39,0.17256637168141592,0.3010299956639812
MUSTARD,2,58,0.25663716814159293,0.17609125905568124
MUSTARD,3,27,0.11946902654867257,0.12493873660829993
MUSTARD,4,25,0.11061946902654868,0.09691001300805642
MUSTARD,5,36,0.1592920353982301,0.07918124604762482
MUSTARD,6,10,0.04424778761061947,0.06694678963061322
MUSTARD,7,24,0.10619469026548672,0.05799194697768673
MUSTARD,8,0,0.0,0.05115252244738129
MUSTARD,9,7,0.030973451327433628,0.04575749056067514
CRESS,1,49,0.2033195020746888,0.3010299956639812
CRESS,2,39,0.16182572614107885,0.17609125905568124
CRESS,3,28,0.11618257261410789,0.12493873660829993
CRESS,4,22,0.0912863070539419,0.09691001300805642
CRESS,5,10,0.04149377593360996,0.07918124604762482
CRESS,6,31,0.12863070539419086,0.06694678963061322
CRESS,7,29,0.12033195020746888,0.05799194697768673
CRESS,8,15,0.06224066390041494,0.05115252244738129
CRESS,9,18,0.07468879668049792,0.04575749056067514
SESAME,1,104,0.3086053412462908,0.3010299956639812
SESAME,2,69,0.20474777448071216,0.17609125905568124
SESAME,3,55,0.1632047477744807,0.12493873660829993
SESAME,4,18,0.05341246290801187,0.09691001300805642
SESAME,5,11,0.032640949554896145,0.07918124604762482
SESAME,6,19,0.05637982195845697,0.06694678963061322
SESAME,7,17,0.050445103857566766,0.05799194697768673
SESAME,8,18,0.05341246290801187,0.05115252244738129
SESAME,9,26,0.0771513353115727,0.04575749056067514
WOOL 0.5 kg p. Shekel,1,40,0.18867924528301888,0.3010299956639812
WOOL 0.5 kg p. Shekel,2,55,0.25943396226415094,0.17609125905568124
WOOL 0.5 kg p. Shekel,3,39,0.18396226415094338,0.12493873660829993
WOOL 0.5 kg p. Shekel,4,35,0.1650943396226415,0.09691001300805642
WOOL 0.5 kg p. Shekel,5,24,0.11320754716981132,0.07918124604762482
WOOL 0.5 kg p. Shekel,6,17,0.08018867924528301,0.06694678963061322
WOOL 0.5 kg p. Shekel,7,1,0.0047169811320754715,0.05799194697768673
WOOL 0.5 kg p. Shekel,8,1,0.0047169811320754715,0.05115252244738129
WOOL 0.5 kg p. Shekel,9,0,0.0,0.04575749056067514
ALL,1,570,0.25,0.3010299956639812
ALL,2,394,0.17280701754385966,0.17609125905568124
ALL,3,332,0.1456140350877193,0.12493873660829993
ALL,4,236,0.10350877192982456,0.09691001300805642
ALL,5,174,0.07631578947368421,0.07918124604762482
ALL,6,178,0.0780701754385965,0.06694678963061322
ALL,7,155,0.06798245614035088,0.05799194697768673
ALL,8,88,0.03859649122807018,0.05115252244738129
ALL,9,153,0.06710526315789474,0.04575749056067514
