format,commodity,n,mad,mad_conformity,r_squared,chi2,p_value
X (qty per shekel),BARLEY,693,0.018308073617688405,nonconformity,0.8967021945629374,36.23265814646868,1.5918954849334592e-05
X (qty per shekel),DATES,571,0.023992499684032307,nonconformity,0.7808876357733707,35.378233230601325,2.28126364408109e-05
X (qty per shekel),MUSTARD,226,0.0494597550539576,nonconformity,0.3024902080904178,62.96034160546035,1.2198255427431102e-10
X (qty per shekel),CRESS,241,0.036454081459159154,nonconformity,0.025231868880048136,47.30687199666233,1.340048219638601e-07
X (qty per shekel),SESAME,337,0.0240337016411221,nonconformity,0.8937136732285216,29.568943425308163,0.0002518492673636642
X (qty per shekel),WOOL 0.5 kg p. Shekel,212,0.05729305513390101,nonconformity,0.4995689485710192,66.00160825071424,3.0577133766164965e-11
X (qty per shekel),ALL,2280,0.015496827770901004,nonconformity,0.8898948207418502,66.79747562106395,2.1267170552555534e-11
1/X (shekel per unit),BARLEY,693,0.016737640360651215,nonconformity,0.947983349071148,30.5767446168795,0.0001670736658902747
1/X (shekel per unit),DATES,571,0.019935296731556126,nonconformity,0.9303941750288476,26.194993841343713,0.0009725595141701788
1/X (shekel per unit),MUSTARD,226,0.037500312107469555,nonconformity,0.8591388876388218,42.32143805201747,1.1785310747608244e-06
1/X (shekel per unit),CRESS,241,0.03597397659065132,nonconformity,0.8162968261559757,32.98666967756902,6.192980883965021e-05
1/X (shekel per unit),SESAME,337,0.020002076473463012,nonconformity,0.9064306428382606,25.045967791453304,0.0015269181558887077
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,212,0.05905378004233873,nonconformity,0.4859473696040988,88.03979684344931,1.1617566411239532e-15
1/X (shekel per unit),ALL,2280,0.013038009628037153,marginally acceptable,0.9685976428711673,54.248662159828534,6.177759571293678e-09
