commodity,digit,count,observed_pct,expected_pct
BARLEY,1,155,0.31,0.3010299956639812
BARLEY,2,68,0.136,0.17609125905568124
BARLEY,3,68,0.136,0.12493873660829993
BARLEY,4,49,0.098,0.09691001300805642
BARLEY,5,36,0.072,0.07918124604762482
BARLEY,6,35,0.07,0.06694678963061322
BARLEY,7,29,0.058,0.05799194697768673
BARLEY,8,16,0.032,0.05115252244738129
BARLEY,9,44,0.088,0.04575749056067514
DATES,1,101,0.23598130841121495,0.3010299956639812
DATES,2,54,0.1261682242990654,0.17609125905568124
DATES,3,69,0.16121495327102803,0.12493873660829993
DATES,4,55,0.12850467289719625,0.09691001300805642
DATES,5,32,0.07476635514018691,0.07918124604762482
DATES,6,38,0.08878504672897196,0.06694678963061322
DATES,7,27,0.0630841121495327,0.05799194697768673
DATES,8,23,0.053738317757009345,0.05115252244738129
DATES,9,29,0.06775700934579439,0.04575749056067514
MUSTARD,1,39,0.19696969696969696,0.3010299956639812
MUSTARD,2,58,0.29292929292929293,0.17609125905568124
MUSTARD,3,25,0.12626262626262627,0.12493873660829993
MUSTARD,4,21,0.10606060606060606,0.09691001300805642
MUSTARD,5,26,0.13131313131313133,0.07918124604762482
MUSTARD,6,8,0.04040404040404041,0.06694678963061322
MUSTARD,7,15,0.07575757575757576,0.05799194697768673
MUSTARD,8,0,0.0,0.05115252244738129
MUSTARD,9,6,0.030303030303030304,0.04575749056067514
CRESS,1,36,0.17061611374407584,0.3010299956639812
CRESS,2,33,0.15639810426540285,0.17609125905568124
CRESS,3,26,0.12322274881516587,0.12493873660829993
CRESS,4,21,0.0995260663507109,0.09691001300805642
CRESS,5,10,0.04739336492890995,0.07918124604762482
CRESS,6,31,0.14691943127962084,0.06694678963061322
CRESS,7,25,0.11848341232227488,0.05799194697768673
CRESS,8,14,0.06635071090047394,0.05115252244738129
CRESS,9,15,0.07109004739336493,0.04575749056067514
SESAME,1,84,0.3054545454545455,0.3010299956639812
SESAME,2,61,0.22181818181818183,0.17609125905568124
SESAME,3,46,0.16727272727272727,0.12493873660829993
SESAME,4,14,0.05090909090909091,0.09691001300805642
SESAME,5,6,0.02181818181818182,0.07918124604762482
SESAME,6,15,0.05454545454545454,0.06694678963061322
SESAME,7,15,0.05454545454545454,0.05799194697768673
SESAME,8,15,0.05454545454545454,0.05115252244738129
SESAME,9,19,0.06909090909090909,0.04575749056067514
WOOL 0.5 kg p. Shekel,1,40,0.20618556701030927,0.3010299956639812
WOOL 0.5 kg p. Shekel,2,48,0.24742268041237114,0.17609125905568124
WOOL 0.5 kg p. Shekel,3,36,0.18556701030927836,0.12493873660829993
WOOL 0.5 kg p. Shekel,4,33,0.17010309278350516,0.09691001300805642
WOOL 0.5 kg p. Shekel,5,19,0.0979381443298969,0.07918124604762482
WOOL 0.5 kg p. Shekel,6,16,0.08247422680412371,0.06694678963061322
WOOL 0.5 kg p. Shekel,7,1,0.005154639175257732,0.05799194697768673
WOOL 0.5 kg p. Shekel,8,1,0.005154639175257732,0.05115252244738129
WOOL 0.5 kg p. Shekel,9,0,0.0,0.04575749056067514
ALL,1,455,0.25193798449612403,0.3010299956639812
ALL,2,322,0.17829457364341086,0.17609125905568124
ALL,3,270,0.14950166112956811,0.12493873660829993
ALL,4,193,0.10686600221483943,0.09691001300805642
ALL,5,129,0.07142857142857142,0.07918124604762482
ALL,6,143,0.07918050941306755,0.06694678963061322
ALL,7,112,0.06201550387596899,0.05799194697768673
ALL,8,69,0.03820598006644518,0.05115252244738129
ALL,9,113,0.06256921373200443,0.04575749056067514
