format,commodity,n,mad,mad_conformity,r_squared,chi2,p_value
X (qty per shekel),BARLEY,500,0.014761117233486078,marginally acceptable,0.9252159043084442,28.672855236211596,0.00036185282434637514
X (qty per shekel),DATES,428,0.02653035842595999,nonconformity,0.6401348518655315,28.91903125449721,0.00032764096789485587
X (qty per shekel),MUSTARD,198,0.04382445125019627,nonconformity,0.529454633042318,43.764707985324065,6.302582551978698e-07
X (qty per shekel),CRESS,211,0.04080242347156282,nonconformity,-0.9727494552926168,52.48175698579062,1.3584334081094565e-08
X (qty per shekel),SESAME,275,0.026491514187955423,nonconformity,0.8682598110673297,28.682973381644306,0.00036038002803780975
X (qty per shekel),WOOL 0.5 kg p. Shekel,194,0.05320824673086658,nonconformity,0.5760302484061006,55.63612626549505,3.3205801190906785e-09
X (qty per shekel),ALL,1806,0.01550916181507704,nonconformity,0.9015017239635589,48.06252016256371,9.61131482768518e-08
1/X (shekel per unit),BARLEY,500,0.01690222029510275,nonconformity,0.9379131524122024,29.75393158881683,0.00023362515549757152
1/X (shekel per unit),DATES,428,0.023529763090151663,nonconformity,0.9231609573018739,26.359717161138263,0.0009112899861893729
1/X (shekel per unit),MUSTARD,198,0.04099886819922204,nonconformity,0.780809895197578,44.056434722618974,5.551586956309739e-07
1/X (shekel per unit),CRESS,211,0.044270308762717286,nonconformity,0.77743197212653,43.44387318482091,7.245318034273335e-07
1/X (shekel per unit),SESAME,275,0.021715099475827063,nonconformity,0.8569756299035807,23.429252283252772,0.002854711163542308
1/X (shekel per unit),WOOL 0.5 kg p. Shekel,194,0.05806290297600999,nonconformity,0.4900529964164406,80.94176855922335,3.159118939089519e-14
1/X (shekel per unit),ALL,1806,0.012016591830581968,marginally acceptable,0.9714564818672708,45.76203579116905,2.637845985319507e-07
