format,commodity,scale,n,F
X (qty per shekel) -- matches paper,BARLEY,monthly,12.0,42.911923355701155
X (qty per shekel) -- matches paper,BARLEY,monthly,13.0,48.81492337134785
X (qty per shekel) -- matches paper,BARLEY,monthly,14.0,48.366717233976765
X (qty per shekel) -- matches paper,BARLEY,monthly,16.0,61.07319614024314
X (qty per shekel) -- matches paper,BARLEY,monthly,17.0,72.98251493452544
X (qty per shekel) -- matches paper,BARLEY,monthly,19.0,68.25794893574755
X (qty per shekel) -- matches paper,BARLEY,monthly,21.0,83.29323822548703
X (qty per shekel) -- matches paper,BARLEY,monthly,23.0,91.91506097338845
X (qty per shekel) -- matches paper,BARLEY,monthly,25.0,99.68832754551008
X (qty per shekel) -- matches paper,BARLEY,monthly,28.0,112.03322657967053
X (qty per shekel) -- matches paper,BARLEY,monthly,30.0,106.09282710137346
X (qty per shekel) -- matches paper,BARLEY,monthly,33.0,130.2747628368208
X (qty per shekel) -- matches paper,BARLEY,monthly,37.0,128.83159519167415
X (qty per shekel) -- matches paper,BARLEY,monthly,40.0,126.94510745422517
X (qty per shekel) -- matches paper,BARLEY,monthly,44.0,144.60290310018866
X (qty per shekel) -- matches paper,BARLEY,monthly,48.0,153.43190945276555
X (qty per shekel) -- matches paper,BARLEY,monthly,53.0,150.9648547852507
X (qty per shekel) -- matches paper,BARLEY,monthly,58.0,159.16558750589678
X (qty per shekel) -- matches paper,BARLEY,monthly,64.0,165.07219122492418
X (qty per shekel) -- matches paper,BARLEY,monthly,70.0,165.42081070838907
X (qty per shekel) -- matches paper,BARLEY,annual,12.0,54.71255283996032
X (qty per shekel) -- matches paper,BARLEY,annual,13.0,54.377997254425495
X (qty per shekel) -- matches paper,BARLEY,annual,14.0,67.85021798684124
X (qty per shekel) -- matches paper,BARLEY,annual,15.0,68.64065147108501
X (qty per shekel) -- matches paper,BARLEY,annual,16.0,66.80704251668112
X (qty per shekel) -- matches paper,BARLEY,annual,17.0,70.21280496502945
X (qty per shekel) -- matches paper,BARLEY,annual,18.0,74.45323443395625
X (qty per shekel) -- matches paper,BARLEY,annual,19.0,77.21401921988773
X (qty per shekel) -- matches paper,BARLEY,annual,20.0,85.31142069869438
X (qty per shekel) -- matches paper,BARLEY,annual,22.0,80.04186343827601
X (qty per shekel) -- matches paper,BARLEY,annual,23.0,87.4713782761066
X (qty per shekel) -- matches paper,BARLEY,annual,24.0,90.67550365340398
X (qty per shekel) -- matches paper,BARLEY,annual,25.0,86.8227572910181
X (qty per shekel) -- matches paper,BARLEY,annual,27.0,93.00409211926588
X (qty per shekel) -- matches paper,BARLEY,annual,28.0,93.32118513945844
X (qty per shekel) -- matches paper,BARLEY,annual,30.0,98.7643029008236
X (qty per shekel) -- matches paper,BARLEY,annual,31.0,103.338205883007
X (qty per shekel) -- matches paper,BARLEY,annual,33.0,99.87943241751894
X (qty per shekel) -- matches paper,DATES,monthly,12.0,60.02227065940923
X (qty per shekel) -- matches paper,DATES,monthly,13.0,60.98092948644155
X (qty per shekel) -- matches paper,DATES,monthly,14.0,73.13216103609207
X (qty per shekel) -- matches paper,DATES,monthly,16.0,81.11355243079744
X (qty per shekel) -- matches paper,DATES,monthly,17.0,74.82380592226151
X (qty per shekel) -- matches paper,DATES,monthly,19.0,94.31790272536394
X (qty per shekel) -- matches paper,DATES,monthly,20.0,91.75333511297501
X (qty per shekel) -- matches paper,DATES,monthly,22.0,105.4687432433041
X (qty per shekel) -- matches paper,DATES,monthly,24.0,97.2974576901617
X (qty per shekel) -- matches paper,DATES,monthly,26.0,117.81435004313796
X (qty per shekel) -- matches paper,DATES,monthly,29.0,129.3148707873288
X (qty per shekel) -- matches paper,DATES,monthly,31.0,136.47993588488578
X (qty per shekel) -- matches paper,DATES,monthly,34.0,154.2459485014729
X (qty per shekel) -- matches paper,DATES,monthly,37.0,151.0111586369352
X (qty per shekel) -- matches paper,DATES,monthly,41.0,166.63647157747496
X (qty per shekel) -- matches paper,DATES,monthly,44.0,168.67346518146337
X (qty per shekel) -- matches paper,DATES,monthly,48.0,191.62930926313763
X (qty per shekel) -- matches paper,DATES,monthly,53.0,186.57602944455428
X (qty per shekel) -- matches paper,DATES,monthly,58.0,215.00543871054612
X (qty per shekel) -- matches paper,DATES,monthly,63.0,216.8297429850772
X (qty per shekel) -- matches paper,DATES,annual,12.0,66.65950125757865
X (qty per shekel) -- matches paper,DATES,annual,13.0,67.44150369259506
X (qty per shekel) -- matches paper,DATES,annual,14.0,78.22307411040521
X (qty per shekel) -- matches paper,DATES,annual,15.0,84.28512263262974
X (qty per shekel) -- matches paper,DATES,annual,16.0,84.58559799334782
X (qty per shekel) -- matches paper,DATES,annual,17.0,84.63952306856018
X (qty per shekel) -- matches paper,DATES,annual,18.0,96.34192442832048
