commodity,format,n,min,max,range,mean,median,std,skew,kurtosis
BARLEY,X (qty per shekel),693,3.5,390.0,386.5,81.9193722943723,63.0,60.211943276671484,1.5802637626097575,3.26038828087756
BARLEY,1/X (shekel per liter),693,0.002564102564102564,0.2857142857142857,0.28315018315018314,0.021173106916164218,0.015873015873015872,0.021125446877266155,4.909304603636972,43.2368665160621
DATES,X (qty per shekel),571,13.0,672.0,659.0,152.26072679509633,102.0,117.98000601814283,1.1404142569306814,0.5721720237532839
DATES,1/X (shekel per liter),571,0.001488095238095238,0.07692307692307693,0.0754349816849817,0.012142986425881488,0.00980392156862745,0.010804350638473886,2.4960476354451258,8.776744650640488
MUSTARD,X (qty per shekel),226,39.0,1080.0,1041.0,400.7245575221239,360.0,212.70987456790112,0.6972787302126178,-0.10534478819859583
MUSTARD,1/X (shekel per liter),226,0.000925925925925926,0.02564102564102564,0.024715099715099713,0.003559336898956257,0.002777777777777778,0.0030218029535091346,4.309295148063105,25.47023739634646
CRESS,X (qty per shekel),241,5.25,120.0,114.75,43.9844398340249,36.0,28.471303473071618,0.573882257389503,-0.7062310861178691
CRESS,1/X (shekel per liter),241,0.008333333333333333,0.19047619047619047,0.18214285714285713,0.03991974000922942,0.027777777777777776,0.03564372974349731,1.9596524577578711,4.008287415233978
SESAME,X (qty per shekel),337,3.0,72.0,69.0,19.09492581602374,16.0,12.382741340454439,1.2620711001726705,2.019637884307438
SESAME,1/X (shekel per liter),337,0.013888888888888888,0.3333333333333333,0.3194444444444444,0.07988013949116285,0.0625,0.05620899684144077,1.6970238181592523,3.74541867366569
WOOL 0.5 kg p. Shekel,X (qty per shekel),212,0.5,8.0,7.5,2.8146698113207544,2.5,1.4379123177672184,0.43536536337298354,-0.2727657589151957
WOOL 0.5 kg p. Shekel,1/X (shekel per 0.5kg (mina)),212,0.125,2.0,1.875,0.5067599077656656,0.4,0.3641188296218342,1.6979455087956492,2.3595730113460824
