commodity,format,n,min,max,range,mean,median,std,skew,kurtosis
BARLEY,X (qty per shekel),500,3.5,390.0,386.5,87.54275,72.0,63.17857493525157,1.4824129907812895,2.9612655090415054
BARLEY,1/X (shekel per liter),500,0.002564102564102564,0.2857142857142857,0.28315018315018314,0.020527208531336803,0.013888888888888888,0.022855999832969646,5.206988010021465,43.83045461045186
DATES,X (qty per shekel),428,13.0,666.0,653.0,146.94947429906543,96.0,118.91649659647393,1.2201217894889564,0.854765407647045
DATES,1/X (shekel per liter),428,0.0015015015015015015,0.07692307692307693,0.07542157542157543,0.012902804846789276,0.010416666666666666,0.011140823687524958,2.26942375231938,7.664855939366877
MUSTARD,X (qty per shekel),198,42.0,1080.0,1038.0,374.77146464646466,294.0,205.55259459206349,0.9684558368300239,0.505571846489314
MUSTARD,1/X (shekel per liter),198,0.000925925925925926,0.023809523809523808,0.02288359788359788,0.003696763649327454,0.003402777777777778,0.002731048190261061,3.858790800080889,22.736239635688946
CRESS,X (qty per shekel),211,5.25,120.0,114.75,44.84834123222749,40.0,28.00816393902655,0.512191540644804,-0.6819289739392116
CRESS,1/X (shekel per liter),211,0.008333333333333333,0.19047619047619047,0.18214285714285713,0.038978954588555395,0.025,0.036126201284198266,2.0775972248936196,4.394503910746044
SESAME,X (qty per shekel),275,3.5,72.0,68.5,19.94498181818182,18.0,12.231041783924466,1.2392076848879465,2.2187810710911657
SESAME,1/X (shekel per liter),275,0.013888888888888888,0.2857142857142857,0.2718253968253968,0.07252394877073302,0.05555555555555555,0.045194726802634956,1.147828907541644,1.3661216350560208
WOOL 0.5 kg p. Shekel,X (qty per shekel),194,0.5,8.0,7.5,2.740773195876289,2.5,1.4233562176723804,0.4599304767782009,-0.16896197354262554
WOOL 0.5 kg p. Shekel,1/X (shekel per 0.5kg (mina)),194,0.125,2.0,1.875,0.5242412237939075,0.4,0.3742950156638264,1.593663976158457,1.9191453657281836
