commodity,z,P
BARLEY,-1.3302413054762796,1.0
BARLEY,-1.2906709289275504,0.998
BARLEY,-1.2827568536178047,0.996
BARLEY,-1.266928702998313,0.994
BARLEY,-1.2431864770690757,0.992
BARLEY,-1.2431864770690757,0.99
BARLEY,-1.2431864770690757,0.988
BARLEY,-1.2431864770690757,0.986
BARLEY,-1.1957020252106008,0.984
BARLEY,-1.1957020252106008,0.982
BARLEY,-1.1957020252106008,0.98
BARLEY,-1.1957020252106008,0.978
BARLEY,-1.1957020252106008,0.976
BARLEY,-1.179873874591109,0.974
BARLEY,-1.179873874591109,0.972
BARLEY,-1.1719597992813633,0.97
BARLEY,-1.1719597992813633,0.968
BARLEY,-1.1640457239716175,0.966
BARLEY,-1.1561316486618716,0.964
BARLEY,-1.1482175733521258,0.962
BARLEY,-1.1323894227326343,0.96
BARLEY,-1.100733121493651,0.958
BARLEY,-1.100733121493651,0.956
BARLEY,-1.0849049708741594,0.954
BARLEY,-1.0690768202546677,0.952
BARLEY,-1.0690768202546677,0.95
BARLEY,-1.0690768202546677,0.948
BARLEY,-1.0690768202546677,0.946
BARLEY,-1.061162744944922,0.944
BARLEY,-1.061162744944922,0.942
BARLEY,-1.061162744944922,0.94
BARLEY,-1.0295064437059387,0.938
BARLEY,-1.0295064437059387,0.936
BARLEY,-1.0057642177767012,0.934
BARLEY,-1.0057642177767012,0.932
BARLEY,-1.0057642177767012,0.93
BARLEY,-1.0057642177767012,0.928
BARLEY,-1.0057642177767012,0.926
BARLEY,-1.0057642177767012,0.924
BARLEY,-1.0057642177767012,0.922
BARLEY,-0.9899360671572096,0.92
BARLEY,-0.9780649541925909,0.918
BARLEY,-0.9780649541925909,0.916
BARLEY,-0.974107916537718,0.914
BARLEY,-0.974107916537718,0.912
BARLEY,-0.9661938412279722,0.91
BARLEY,-0.9582797659182264,0.908
BARLEY,-0.9582797659182264,0.906
BARLEY,-0.9582797659182264,0.904
BARLEY,-0.9582797659182264,0.902
BARLEY,-0.9582797659182264,0.9
BARLEY,-0.9582797659182264,0.898
BARLEY,-0.9503656906084806,0.896
BARLEY,-0.9424516152987348,0.894
BARLEY,-0.9424516152987348,0.892
BARLEY,-0.9424516152987348,0.89
BARLEY,-0.9424516152987348,0.888
BARLEY,-0.9345375399889889,0.886
BARLEY,-0.9345375399889889,0.884
BARLEY,-0.930580502334116,0.882
BARLEY,-0.9266234646792432,0.88
BARLEY,-0.9107953140597516,0.878
BARLEY,-0.9107953140597516,0.876
BARLEY,-0.9107953140597516,0.874
BARLEY,-0.9107953140597516,0.872
BARLEY,-0.9107953140597516,0.87
BARLEY,-0.9107953140597516,0.868
BARLEY,-0.9107953140597516,0.866
BARLEY,-0.9107953140597516,0.864
BARLEY,-0.9107953140597516,0.862
BARLEY,-0.9107953140597516,0.86
BARLEY,-0.9107953140597516,0.858
BARLEY,-0.9107953140597516,0.856
BARLEY,-0.9107953140597516,0.854
BARLEY,-0.9107953140597516,0.852
BARLEY,-0.9107953140597516,0.85
BARLEY,-0.9107953140597516,0.848
BARLEY,-0.89496716344026,0.846
BARLEY,-0.891010125785387,0.844
BARLEY,-0.891010125785387,0.842
BARLEY,-0.8870530881305141,0.84
BARLEY,-0.8870530881305141,0.838
BARLEY,-0.8791390128207683,0.836
BARLEY,-0.8791390128207683,0.834
BARLEY,-0.8791390128207683,0.832
BARLEY,-0.8791390128207683,0.83
BARLEY,-0.8712249375110225,0.828
BARLEY,-0.8672678998561496,0.826
BARLEY,-0.8633108622012766,0.824
BARLEY,-0.8633108622012766,0.822
BARLEY,-0.8633108622012766,0.82
BARLEY,-0.8633108622012766,0.818
BARLEY,-0.8633108622012766,0.816
BARLEY,-0.8633108622012766,0.814
BARLEY,-0.8633108622012766,0.812
BARLEY,-0.8593538245464037,0.81
BARLEY,-0.8455041927543486,0.808
BARLEY,-0.8158264103428018,0.806
BARLEY,-0.8158264103428018,0.804
BARLEY,-0.8158264103428018,0.802
BARLEY,-0.8158264103428018,0.8
BARLEY,-0.8158264103428018,0.798
BARLEY,-0.8158264103428018,0.796
BARLEY,-0.8158264103428018,0.794
BARLEY,-0.8158264103428018,0.792
BARLEY,-0.8158264103428018,0.79
BARLEY,-0.8158264103428018,0.788
BARLEY,-0.8158264103428018,0.786
BARLEY,-0.8158264103428018,0.784
BARLEY,-0.8158264103428018,0.782
BARLEY,-0.8158264103428018,0.78
BARLEY,-0.8158264103428018,0.778
BARLEY,-0.8158264103428018,0.776
BARLEY,-0.7999982597233102,0.774
BARLEY,-0.786148627931255,0.772
BARLEY,-0.7703204773117633,0.77
BARLEY,-0.768341958484327,0.768
BARLEY,-0.768341958484327,0.766
BARLEY,-0.768341958484327,0.764
BARLEY,-0.768341958484327,0.762
BARLEY,-0.768341958484327,0.76
BARLEY,-0.768341958484327,0.758
BARLEY,-0.768341958484327,0.756
BARLEY,-0.768341958484327,0.754
BARLEY,-0.7525138078648353,0.752
BARLEY,-0.7525138078648353,0.75
BARLEY,-0.7525138078648353,0.748
BARLEY,-0.7525138078648353,0.746
BARLEY,-0.7525138078648353,0.744
BARLEY,-0.7525138078648353,0.742
BARLEY,-0.7525138078648353,0.74
BARLEY,-0.7525138078648353,0.738
BARLEY,-0.7525138078648353,0.736
BARLEY,-0.7525138078648353,0.734
BARLEY,-0.7525138078648353,0.732
BARLEY,-0.720857506625852,0.73
BARLEY,-0.720857506625852,0.728
BARLEY,-0.720857506625852,0.726
BARLEY,-0.720857506625852,0.724
BARLEY,-0.720857506625852,0.722
BARLEY,-0.720857506625852,0.72
BARLEY,-0.720857506625852,0.718
BARLEY,-0.720857506625852,0.716
BARLEY,-0.720857506625852,0.714
BARLEY,-0.720857506625852,0.712
BARLEY,-0.7050293560063604,0.71
BARLEY,-0.6971152806966147,0.708
BARLEY,-0.6971152806966147,0.706
BARLEY,-0.6892012053868688,0.704
BARLEY,-0.6892012053868688,0.702
BARLEY,-0.6892012053868688,0.7
BARLEY,-0.6892012053868688,0.698
BARLEY,-0.6733730547673772,0.696
BARLEY,-0.6733730547673772,0.694
BARLEY,-0.6733730547673772,0.692
BARLEY,-0.6733730547673772,0.69
BARLEY,-0.6733730547673772,0.688
BARLEY,-0.6733730547673772,0.686
BARLEY,-0.6575449041478856,0.684
BARLEY,-0.6575449041478856,0.682
BARLEY,-0.6575449041478856,0.68
BARLEY,-0.6258886029089024,0.678
BARLEY,-0.6258886029089024,0.676
BARLEY,-0.6258886029089024,0.674
BARLEY,-0.6258886029089024,0.672
BARLEY,-0.6258886029089024,0.67
BARLEY,-0.6258886029089024,0.668
BARLEY,-0.6258886029089024,0.666
BARLEY,-0.6258886029089024,0.664
BARLEY,-0.6258886029089024,0.662
BARLEY,-0.6258886029089024,0.66
BARLEY,-0.6258886029089024,0.658
BARLEY,-0.6219315652540294,0.656
BARLEY,-0.594232301669919,0.654
BARLEY,-0.594232301669919,0.652
BARLEY,-0.5784041510504274,0.65
BARLEY,-0.5784041510504274,0.648
BARLEY,-0.5784041510504274,0.646
BARLEY,-0.5784041510504274,0.644
BARLEY,-0.5784041510504274,0.642
BARLEY,-0.5784041510504274,0.64
BARLEY,-0.5784041510504274,0.638
BARLEY,-0.5625760004309358,0.636
BARLEY,-0.5625760004309358,0.634
BARLEY,-0.5625760004309358,0.632
BARLEY,-0.5586189627760629,0.63
BARLEY,-0.5546619251211901,0.628
BARLEY,-0.5546619251211901,0.626
BARLEY,-0.5546619251211901,0.624
BARLEY,-0.5546619251211901,0.622
BARLEY,-0.5546619251211901,0.62
BARLEY,-0.5309196991919526,0.618
BARLEY,-0.5309196991919526,0.616
BARLEY,-0.5309196991919526,0.614
BARLEY,-0.5309196991919526,0.612
BARLEY,-0.5309196991919526,0.61
BARLEY,-0.5309196991919526,0.608
BARLEY,-0.5309196991919526,0.606
BARLEY,-0.5309196991919526,0.604
BARLEY,-0.5309196991919526,0.602
BARLEY,-0.5309196991919526,0.6
BARLEY,-0.5309196991919526,0.598
BARLEY,-0.5309196991919526,0.596
BARLEY,-0.515091548572461,0.594
BARLEY,-0.49926339795296937,0.592
BARLEY,-0.4913493226432235,0.59
BARLEY,-0.4834352473334777,0.588
BARLEY,-0.4834352473334777,0.586
BARLEY,-0.4676070967139861,0.584
BARLEY,-0.4359507954750029,0.582
BARLEY,-0.4359507954750029,0.58
BARLEY,-0.4359507954750029,0.578
BARLEY,-0.4359507954750029,0.576
BARLEY,-0.4359507954750029,0.574
BARLEY,-0.4359507954750029,0.572
BARLEY,-0.4359507954750029,0.57
BARLEY,-0.4359507954750029,0.568
BARLEY,-0.4359507954750029,0.566
BARLEY,-0.4359507954750029,0.564
BARLEY,-0.4359507954750029,0.562
BARLEY,-0.4201226448555112,0.56
BARLEY,-0.4042944942360196,0.558
BARLEY,-0.388466343616528,0.556
BARLEY,-0.388466343616528,0.554
BARLEY,-0.388466343616528,0.552
BARLEY,-0.388466343616528,0.55
BARLEY,-0.388466343616528,0.548
BARLEY,-0.37659523065190925,0.546
BARLEY,-0.3726381929970364,0.544
BARLEY,-0.35681004237754477,0.542
BARLEY,-0.3409818917580531,0.54
BARLEY,-0.3409818917580531,0.538
BARLEY,-0.3409818917580531,0.536
BARLEY,-0.3409818917580531,0.534
BARLEY,-0.3409818917580531,0.532
BARLEY,-0.3409818917580531,0.53
BARLEY,-0.3172396658288157,0.528
BARLEY,-0.3172396658288157,0.526
BARLEY,-0.3172396658288157,0.524
BARLEY,-0.29349743989957827,0.522
BARLEY,-0.29349743989957827,0.52
BARLEY,-0.29349743989957827,0.518
BARLEY,-0.2460129880411034,0.516
BARLEY,-0.2460129880411034,0.514
BARLEY,-0.2460129880411034,0.512
BARLEY,-0.2460129880411034,0.51
BARLEY,-0.2460129880411034,0.508
BARLEY,-0.2460129880411034,0.506
BARLEY,-0.2460129880411034,0.504
BARLEY,-0.2460129880411034,0.502
BARLEY,-0.2460129880411034,0.5
BARLEY,-0.2460129880411034,0.498
BARLEY,-0.2460129880411034,0.496
BARLEY,-0.2460129880411034,0.494
BARLEY,-0.2460129880411034,0.492
BARLEY,-0.2460129880411034,0.49
BARLEY,-0.19852853618262853,0.488
BARLEY,-0.19852853618262853,0.486
BARLEY,-0.19852853618262853,0.484
BARLEY,-0.19852853618262853,0.482
BARLEY,-0.19852853618262853,0.48
BARLEY,-0.16687223494364528,0.478
BARLEY,-0.16687223494364528,0.476
BARLEY,-0.15104408432415364,0.474
BARLEY,-0.15104408432415364,0.472
BARLEY,-0.15104408432415364,0.47
BARLEY,-0.15104408432415364,0.468
BARLEY,-0.15104408432415364,0.466
BARLEY,-0.15104408432415364,0.464
BARLEY,-0.15104408432415364,0.462
BARLEY,-0.11938778308517041,0.46
BARLEY,-0.10355963246567879,0.458
BARLEY,-0.10355963246567879,0.456
BARLEY,-0.10355963246567879,0.454
BARLEY,-0.10355963246567879,0.452
BARLEY,-0.10355963246567879,0.45
BARLEY,-0.056075180607203914,0.448
BARLEY,-0.056075180607203914,0.446
BARLEY,-0.056075180607203914,0.444
BARLEY,-0.056075180607203914,0.442
BARLEY,-0.056075180607203914,0.44
BARLEY,-0.056075180607203914,0.438
BARLEY,-0.056075180607203914,0.436
BARLEY,-0.056075180607203914,0.434
BARLEY,-0.008590728748729048,0.432
BARLEY,0.007237421870762575,0.43
BARLEY,0.03889372310974582,0.428
BARLEY,0.03889372310974582,0.426
BARLEY,0.03889372310974582,0.424
BARLEY,0.03889372310974582,0.422
BARLEY,0.03889372310974582,0.42
BARLEY,0.03889372310974582,0.418
BARLEY,0.03889372310974582,0.416
BARLEY,0.03889372310974582,0.414
BARLEY,0.03889372310974582,0.412
BARLEY,0.03889372310974582,0.41
BARLEY,0.03889372310974582,0.408
BARLEY,0.03889372310974582,0.406
BARLEY,0.03889372310974582,0.404
BARLEY,0.03889372310974582,0.402
BARLEY,0.03889372310974582,0.4
BARLEY,0.08637817496822069,0.398
BARLEY,0.08637817496822069,0.396
BARLEY,0.08637817496822069,0.394
BARLEY,0.13386262682669556,0.392
BARLEY,0.13386262682669556,0.39
BARLEY,0.13386262682669556,0.388
BARLEY,0.13386262682669556,0.386
BARLEY,0.13386262682669556,0.384
BARLEY,0.13386262682669556,0.382
BARLEY,0.13386262682669556,0.38
BARLEY,0.13386262682669556,0.378
BARLEY,0.13386262682669556,0.376
BARLEY,0.13386262682669556,0.374
BARLEY,0.13386262682669556,0.372
BARLEY,0.13386262682669556,0.37
BARLEY,0.13386262682669556,0.368
BARLEY,0.13386262682669556,0.366
BARLEY,0.1655189280656788,0.364
BARLEY,0.18134707868517042,0.362
BARLEY,0.18134707868517042,0.36
BARLEY,0.18134707868517042,0.358
BARLEY,0.18134707868517042,0.356
BARLEY,0.18134707868517042,0.354
BARLEY,0.18134707868517042,0.352
