commodity,value,zscore,cdf
BARLEY,27.0,-0.9582797659182264,0.094
BARLEY,27.0,-0.9582797659182264,0.096
BARLEY,30.0,-0.9107953140597516,0.124
BARLEY,32.0,-0.8791390128207683,0.166
BARLEY,32.0,-0.8791390128207683,0.168
BARLEY,36.0,-0.8158264103428018,0.196
BARLEY,44.0,-0.6892012053868688,0.298
BARLEY,42.0,-0.720857506625852,0.272
BARLEY,96.0,0.13386262682669556,0.61
BARLEY,96.0,0.13386262682669556,0.612
BARLEY,72.0,-0.2460129880411034,0.486
BARLEY,78.0,-0.15104408432415364,0.528
BARLEY,52.5,-0.5546619251211901,0.374
BARLEY,52.5,-0.5546619251211901,0.376
BARLEY,63.0,-0.388466343616528,0.446
BARLEY,63.0,-0.388466343616528,0.448
BARLEY,72.0,-0.2460129880411034,0.488
BARLEY,72.0,-0.2460129880411034,0.49
BARLEY,72.0,-0.2460129880411034,0.492
BARLEY,75.0,-0.19852853618262853,0.514
BARLEY,39.0,-0.768341958484327,0.234
BARLEY,33.0,-0.8633108622012766,0.178
BARLEY,33.0,-0.8633108622012766,0.18
BARLEY,28.5,-0.9345375399889889,0.116
BARLEY,24.0,-1.0057642177767012,0.068
BARLEY,36.0,-0.8158264103428018,0.198
BARLEY,99.0,0.18134707868517042,0.64
BARLEY,60.0,-0.4359507954750029,0.42
BARLEY,60.0,-0.4359507954750029,0.422
BARLEY,66.0,-0.3409818917580531,0.462
BARLEY,39.0,-0.768341958484327,0.236
BARLEY,39.0,-0.768341958484327,0.238
BARLEY,102.0,0.2288315305436453,0.654
BARLEY,102.0,0.2288315305436453,0.656
BARLEY,108.0,0.323800434260595,0.69
BARLEY,114.0,0.4187693379775448,0.72
BARLEY,114.0,0.4187693379775448,0.722
BARLEY,120.0,0.5137382416944944,0.75
BARLEY,117.0,0.4662537898360196,0.744
BARLEY,120.0,0.5137382416944944,0.752
BARLEY,69.0,-0.29349743989957827,0.48
BARLEY,138.0,0.7986449528453436,0.84
BARLEY,144.0,0.8936138565622934,0.844
BARLEY,150.0,0.9885827602792432,0.856
BARLEY,72.0,-0.2460129880411034,0.494
BARLEY,51.0,-0.5784041510504274,0.352
BARLEY,26.0,-0.974107916537718,0.088
BARLEY,36.0,-0.8158264103428018,0.2
BARLEY,48.0,-0.6258886029089024,0.324
BARLEY,48.0,-0.6258886029089024,0.326
BARLEY,46.0,-0.6575449041478856,0.318
BARLEY,44.0,-0.6892012053868688,0.3
BARLEY,43.5,-0.6971152806966147,0.294
BARLEY,45.0,-0.6733730547673772,0.306
BARLEY,43.5,-0.6971152806966147,0.296
BARLEY,39.0,-0.768341958484327,0.24
BARLEY,37.0,-0.7999982597233102,0.228
BARLEY,36.0,-0.8158264103428018,0.202
BARLEY,60.0,-0.4359507954750029,0.424
BARLEY,54.0,-0.5309196991919526,0.384
BARLEY,30.0,-0.9107953140597516,0.126
BARLEY,12.0,-1.1957020252106008,0.018
BARLEY,13.0,-1.179873874591109,0.028
BARLEY,12.0,-1.1957020252106008,0.02
BARLEY,12.0,-1.1957020252106008,0.022
BARLEY,13.5,-1.1719597992813633,0.032
BARLEY,12.0,-1.1957020252106008,0.024
BARLEY,7.5,-1.266928702998313,0.008
BARLEY,13.5,-1.1719597992813633,0.034
BARLEY,9.0,-1.2431864770690757,0.01
BARLEY,9.0,-1.2431864770690757,0.012
BARLEY,14.0,-1.1640457239716175,0.036
BARLEY,14.5,-1.1561316486618716,0.038
BARLEY,13.0,-1.179873874591109,0.03
BARLEY,56.0,-0.49926339795296937,0.41
BARLEY,150.0,0.9885827602792432,0.858
BARLEY,210.0,1.9382717974487405,0.938
BARLEY,210.0,1.9382717974487405,0.94
BARLEY,216.0,2.03324070116569,0.948
BARLEY,216.0,2.03324070116569,0.95
BARLEY,202.0,1.8116465924928076,0.932
BARLEY,180.0,1.463427278863992,0.9
BARLEY,180.0,1.463427278863992,0.902
BARLEY,180.0,1.463427278863992,0.904
BARLEY,90.0,0.03889372310974582,0.574
BARLEY,102.0,0.2288315305436453,0.658
BARLEY,90.0,0.03889372310974582,0.576
BARLEY,90.0,0.03889372310974582,0.578
BARLEY,88.0,0.007237421870762575,0.572
BARLEY,84.0,-0.056075180607203914,0.554
BARLEY,120.0,0.5137382416944944,0.754
BARLEY,120.0,0.5137382416944944,0.756
BARLEY,120.0,0.5137382416944944,0.758
BARLEY,180.0,1.463427278863992,0.906
BARLEY,78.0,-0.15104408432415364,0.53
BARLEY,30.0,-0.9107953140597516,0.128
BARLEY,72.0,-0.2460129880411034,0.496
BARLEY,156.0,1.0835516639961928,0.87
BARLEY,198.0,1.7483339900148411,0.922
BARLEY,198.0,1.7483339900148411,0.924
BARLEY,264.0,2.792991930901288,0.984
BARLEY,270.0,2.8879608346182377,0.986
BARLEY,270.0,2.8879608346182377,0.988
BARLEY,96.0,0.13386262682669556,0.614
BARLEY,36.0,-0.8158264103428018,0.204
BARLEY,36.0,-0.8158264103428018,0.206
BARLEY,102.0,0.2288315305436453,0.66
BARLEY,99.0,0.18134707868517042,0.642
BARLEY,168.0,1.2734894714300924,0.882
BARLEY,90.0,0.03889372310974582,0.58
BARLEY,36.0,-0.8158264103428018,0.208
BARLEY,24.0,-1.0057642177767012,0.07
BARLEY,24.0,-1.0057642177767012,0.072
BARLEY,42.0,-0.720857506625852,0.274
BARLEY,42.0,-0.720857506625852,0.276
BARLEY,42.0,-0.720857506625852,0.278
BARLEY,120.0,0.5137382416944944,0.76
BARLEY,108.0,0.323800434260595,0.692
BARLEY,240.0,2.4131163160334888,0.972
BARLEY,240.0,2.4131163160334888,0.974
BARLEY,237.0,2.3656318641750143,0.97
BARLEY,180.0,1.463427278863992,0.908
BARLEY,180.0,1.463427278863992,0.91
BARLEY,114.0,0.4187693379775448,0.724
BARLEY,108.0,0.323800434260595,0.694
BARLEY,45.0,-0.6733730547673772,0.308
BARLEY,150.0,0.9885827602792432,0.86
BARLEY,132.0,0.703676049128394,0.812
BARLEY,198.0,1.7483339900148411,0.926
BARLEY,216.0,2.03324070116569,0.952
BARLEY,225.0,2.1756940567411145,0.962
BARLEY,210.0,1.9382717974487405,0.942
BARLEY,258.0,2.6980230271843384,0.982
BARLEY,204.0,1.8433028937317908,0.934
BARLEY,225.0,2.1756940567411145,0.964
BARLEY,36.0,-0.8158264103428018,0.21
BARLEY,48.0,-0.6258886029089024,0.328
BARLEY,45.0,-0.6733730547673772,0.31
BARLEY,120.0,0.5137382416944944,0.762
BARLEY,120.0,0.5137382416944944,0.764
BARLEY,135.0,0.7511605009868688,0.832
BARLEY,36.0,-0.8158264103428018,0.212
BARLEY,36.0,-0.8158264103428018,0.214
BARLEY,30.0,-0.9107953140597516,0.13
BARLEY,48.0,-0.6258886029089024,0.33
BARLEY,39.0,-0.768341958484327,0.242
BARLEY,36.0,-0.8158264103428018,0.216
BARLEY,30.0,-0.9107953140597516,0.132
BARLEY,33.0,-0.8633108622012766,0.182
BARLEY,36.0,-0.8158264103428018,0.218
BARLEY,33.0,-0.8633108622012766,0.184
BARLEY,27.0,-0.9582797659182264,0.098
BARLEY,39.0,-0.768341958484327,0.244
BARLEY,165.0,1.2260050195716174,0.88
BARLEY,198.0,1.7483339900148411,0.928
BARLEY,102.0,0.2288315305436453,0.662
BARLEY,102.0,0.2288315305436453,0.664
BARLEY,108.0,0.323800434260595,0.696
BARLEY,120.0,0.5137382416944944,0.766
BARLEY,120.0,0.5137382416944944,0.768
BARLEY,132.0,0.703676049128394,0.814
BARLEY,135.0,0.7511605009868688,0.834
BARLEY,72.0,-0.2460129880411034,0.498
BARLEY,84.0,-0.056075180607203914,0.556
BARLEY,114.0,0.4187693379775448,0.726
BARLEY,114.0,0.4187693379775448,0.728
BARLEY,108.0,0.323800434260595,0.698
BARLEY,96.0,0.13386262682669556,0.616
BARLEY,93.0,0.08637817496822069,0.604
BARLEY,90.0,0.03889372310974582,0.582
BARLEY,126.0,0.6087071454114442,0.802
BARLEY,180.0,1.463427278863992,0.912
BARLEY,174.0,1.368458375147042,0.894
BARLEY,168.0,1.2734894714300924,0.884
BARLEY,48.0,-0.6258886029089024,0.332
BARLEY,90.0,0.03889372310974582,0.584
BARLEY,168.0,1.2734894714300924,0.886
BARLEY,144.0,0.8936138565622934,0.846
BARLEY,174.0,1.368458375147042,0.896
BARLEY,216.0,2.03324070116569,0.954
BARLEY,156.0,1.0835516639961928,0.872
BARLEY,225.0,2.1756940567411145,0.966
BARLEY,225.0,2.1756940567411145,0.968
BARLEY,222.0,2.1282096048826395,0.96
BARLEY,144.0,0.8936138565622934,0.848
BARLEY,150.0,0.9885827602792432,0.862
BARLEY,174.0,1.368458375147042,0.898
BARLEY,72.0,-0.2460129880411034,0.5
BARLEY,78.0,-0.15104408432415364,0.532
BARLEY,84.0,-0.056075180607203914,0.558
BARLEY,108.0,0.323800434260595,0.7
BARLEY,54.0,-0.5309196991919526,0.386
BARLEY,51.0,-0.5784041510504274,0.354
BARLEY,55.0,-0.515091548572461,0.408
BARLEY,120.0,0.5137382416944944,0.77
BARLEY,120.0,0.5137382416944944,0.772
BARLEY,102.0,0.2288315305436453,0.666
BARLEY,114.0,0.4187693379775448,0.73
BARLEY,180.0,1.463427278863992,0.914
BARLEY,288.0,3.172867545769087,0.992
BARLEY,270.0,2.8879608346182377,0.99
BARLEY,390.0,4.787338908957232,1.0
BARLEY,156.0,1.0835516639961928,0.874
BARLEY,120.0,0.5137382416944944,0.774
BARLEY,84.0,-0.056075180607203914,0.56
BARLEY,132.0,0.703676049128394,0.816
BARLEY,108.0,0.323800434260595,0.702
BARLEY,102.0,0.2288315305436453,0.668
BARLEY,96.0,0.13386262682669556,0.618
BARLEY,108.0,0.323800434260595,0.704
BARLEY,132.0,0.703676049128394,0.818
BARLEY,216.0,2.03324070116569,0.956
BARLEY,168.0,1.2734894714300924,0.888
BARLEY,216.0,2.03324070116569,0.958
BARLEY,168.0,1.2734894714300924,0.89
BARLEY,180.0,1.463427278863992,0.916
BARLEY,132.0,0.703676049128394,0.82
BARLEY,240.0,2.4131163160334888,0.976
BARLEY,72.0,-0.2460129880411034,0.502
BARLEY,60.0,-0.4359507954750029,0.426
BARLEY,90.0,0.03889372310974582,0.586
BARLEY,84.0,-0.056075180607203914,0.562
BARLEY,78.0,-0.15104408432415364,0.534
BARLEY,108.0,0.323800434260595,0.706
